year,Median,Range,n,species,group,season,decade,baseline_median,baseline_range,diff_median,diff_range,spring_dp10,spring_d32,spring_emxp,spring_prcp,spring_tavg,spring_tmax,spring_tmin,fall_dp10,fall_d32,fall_emxp,fall_prcp,fall_tavg,fall_tmax,fall_tmin,winter_dp10,winter_dx32,winter_emxp,winter_prcp,winter_tavg,winter_tmax,winter_tmin,yearly_dp10,yearly_dx32,yearly_emxp,yearly_prcp,yearly_tavg,yearly_tmin,yearly_tmax,spring_temp,fall_temp,winter_temp,yearly_temp,hurricane,spring_discharge,fall_discharge,winter_discharge,yearly_discharge,spring_drought,fall_drought,winter_drought,yearly_drought
2003,234,3,125,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,-1.333333333,-19.16666667,19,0,6.3,17.41,69.03333333,86.4,51.8,11,0,2.57,8.31,70,87.2,51.6,16,0,4.1,15.11,50.33333333,64.1,34.3,78,0,6.3,70.96,67.49166667,90.4,34.3,20.63130286,23.03083602,12.94061619,21.11355806,0,368130.45,71975.41,262723.23,848225.27,2165.6,2136.3,1662.6,9615.9
2004,231,6,113,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,-4.333333333,-16.16666667,12,0,1.54,6.12,68.33333333,85.5,52.2,16,0,3.46,16.96,71.8,87.8,53.2,19,0,4.4,18,50.66666667,61.8,37.9,84,0,4.4,76.19,68.00833333,91.7,40.1,20.13849013,23.99011861,13.82867733,21.55467669,1,108498.93,150574.97,219404.99,644827.96,-510.9,14.6,3060.7,1899.5
2005,257,14,37,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,21.66666667,-8.166666667,18,0,6.27,24.66,65.5,84.4,48.1,10,0,1.37,4.78,70,91.2,49.3,17,0,1.22,9.62,54.13333333,65.9,40.2,76,0,6.34,73.85,67.68333333,91.2,39.2,19.5787048,23.16735612,15.27030854,21.60191241,2,238754.23,58985.64,254780.95,649631.72,890.4,909.9,618.8,4231.7
2006,278,16.25,124,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,42.66666667,-5.916666667,9,0,1.15,4.89,69.13333333,85.7,51,15,0,5.7,17.86,67,86.7,44.5,15,0,2.08,10.68,53.13333333,66.9,39.2,61,0,5.7,49.36,68.01666667,92.3,41.6,20.76685168,22.67087477,15.09660328,21.82502542,0,156848.84,62397.66,199341.73,432531.51,-3168.1,-2452.9,212.4,-10094.7
2007,309,42,115,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,73.66666667,19.83333333,10,0,4.3,9.65,66.76666667,84.8,50.6,18,0,2.84,15.03,69.16666667,87.9,46.6,15,0,1.1,9.12,52.23333333,65,38.6,66,0,4.3,55.28,67.75,93.8,38.6,20.1113952,23.35257127,14.6245733,21.62285106,0,47163.33,18164.133,131615.14,197587.113,-591.8,-1296.9,-480.7,-3448.4
2008,206,63,75,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,-29.33333333,40.83333333,16,0,4.52,17.67,66.26666667,84.1,47.2,11,0,2.1,10.72,66.6,85.8,44,23,0,2.9,18.88,53.93333333,67.6,39.4,76,0,4.91,69.12,66.80833333,91.3,39.4,19.78253337,21.73289498,14.54551657,21.01497518,0,130068.69,32464.75,68457.05,345954.67,169.3,-45.2,15.6,226.6
2009,237,51.5,28,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,1.666666667,29.33333333,17,0,3.4,19.36,68,84,52.4,22,0,2.65,16.08,68.53333333,87,46.1,17,0,2.33,11.72,54.43333333,66.5,41.3,86,0,4.06,76.49,67.61666667,93,41.3,20.09114475,22.32148563,13.85938119,21.04959261,0,332844.98,254040.96,187858.52,907408.37,165,411.9,-174.3,936.6
2010,242,81,38,Atlantic Bumper,Pelagic Prey,Fall,2010,235.3333333,22.16666667,6.666666667,58.83333333,19,0,2.23,14.76,66.36666667,86.3,43.2,13,0,2.24,12.05,69.43333333,90.5,48.6,27,0,5.71,31.92,47.36666667,59.3,34.5,81,0,5.71,59.87,66.35833333,92.3,34.5,19.16141569,22.64176964,10.51703013,20.37652442,0,213608.23,25325.47,384381.8,536298.37,2830.6,-396.5,2814.1,5484.5
2011,199,20,15,Atlantic Bumper,Pelagic Prey,Fall,2010,235.3333333,22.16666667,-36.33333333,-2.166666667,7,0,2.21,6.18,69.16666667,86.3,51.4,13,0,5.24,18.8,66.86666667,85.3,48.9,14,0,1.17,7.71,49.83333333,65.7,35.9,54,0,5.24,50.46,68.16666667,96.1,36.9,20.72905448,21.6909898,13.44866509,21.23903973,0,237353.67,47705.64,90872.09,438737.47,-2295.5,-1087.2,-1266.1,-8601.3
2012,251,0,10,Atlantic Bumper,Pelagic Prey,Fall,2010,235.3333333,22.16666667,15.66666667,-22.16666667,14,0,6.8,17.02,71.33333333,88.2,57.7,9,0,1.68,5.75,66.9,86.6,43.4,18,0,3.32,11.4,56.76666667,68.1,45.2,73,0,6.8,69.13,68.99166667,90.3,43.4,22.23467351,21.79203367,15.87160506,21.97305481,0,118681.51,49393.89,194029.01,393965.06,-106.2,1320.5,-1372.7,1180.6
